Note: first run, but came from the second run of multirunner_1

INFO:root:Bryce's Linux Server Acct | Pypy v7.2.0
INFO:root:random seed is 1576248442
INFO:root:Running multirunner_1
INFO:root:Only running play_14() for utility evals BasicPlusPositionEvalBughouseBase, BasicPlusPositionPlusPocketValEvalBughouseBase, BasicPlusMobilityEvalBughouseBase, BasicPlusPositionPlusMobilityEvalBughouseBase
INFO:root:###########################################
INFO:root:Running play_14() with BasicPlusPositionEvalBughouseBase
INFO:root:play_14: team 1 players are PartneredAI, communicating, using iterative deepening to max_depth 4/max_states 1000000, with eval class 1;  team 2 players are PartneredAI, non-communicating, using iterative deepening to max_depth 4/max_states 1000000, with eval class 1
INFO:root:move: whiteA moved g1f3
INFO:root:move: whiteB moved g1f3
INFO:root:move: blackA moved f7f6
INFO:root:move: blackB moved f7f6
INFO:root:move: whiteA moved b1c3
INFO:root:move: whiteB moved b1c3
INFO:root:move: blackA moved c7c6
INFO:root:move: blackB moved c7c6
INFO:root:move: whiteA moved e2e4
INFO:root:move: whiteB moved e2e4
INFO:root:move: blackA moved d7d6
INFO:root:move: blackB moved d7d6
INFO:root:move: whiteA moved f1c4
INFO:root:move: whiteB moved f1c4
INFO:root:move: blackA moved c8g4
INFO:root:move: blackB moved c8g4
INFO:root:move: whiteA moved h2h3
INFO:root:move: whiteB moved h2h3
INFO:root:move: blackA moved g4d7
INFO:root:move: blackB moved g4d7
INFO:root:move: whiteA moved d2d4
INFO:root:move: whiteB moved d2d4
INFO:root:move: blackA moved e7e6
INFO:root:move: blackB moved e7e6
INFO:root:move: whiteA moved c1f4
INFO:root:move: whiteB moved c1f4
INFO:root:move: blackA moved f8e7
INFO:root:move: blackB moved f8e7
INFO:root:move: whiteA moved e1g1
INFO:root:move: whiteB moved e1g1
INFO:root:move: blackA moved g8h6
INFO:root:move: blackB moved g8h6
INFO:root:move: whiteA moved f4h6
INFO:root:move: whiteB moved f4h6
INFO:root:move: blackA moved g7h6
INFO:root:move: blackB moved g7h6
INFO:root:move: whiteA moved B@g7
INFO:root:move: whiteB moved B@g7
INFO:root:move: blackA moved h8g8
INFO:root:move: blackB moved h8g8
INFO:root:move: whiteA moved g7h6
INFO:root:move: whiteB moved g7h6
INFO:root:move: blackA moved N@b6
